awards,name,station,genre,pr,dinner_budget,lunch_budget,rating,holiday,url,reserve_status,reserve_method,transportation,opening_time,extra_holiday_info,payment_methods,geo_coordinates,telephone,address,num_review,latitude,longitude,visited
食べログ ラーメン TOKYO 百名店 2023 選出店,らぁ麺や 嶋,西新宿五丁目駅 363m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,-,-,3.99,土曜日、日曜日、祝日,https://tabelog.com/tokyo/A1304/A130401/13247487/,予約可,■ご来店日の前日朝8:00より予約サービスTableCheckにて8:45～14:00入店分のご予約受付開始※当日予約の店頭記帳制は廃止※当日 各時間の予約キャンセル等で空席がでた場合、キャンセル席待ちとして一部店頭受付を行います。※なお、当日お並びいただいてもご案内できない場合がございますため、予めご了承ください。,◼️都営大江戸線 西新宿五丁目駅 A2出口から徒歩5分 西新宿五丁目駅から363m,08:45 - 14:30,■入店時間8:45～、9:30～、10:00～、10:30～、11:05～、11:45～、12:15～、12:45～、13:30～、14:00～※前日朝8:00よりTableCheckでご予約受付開始,カード不可 電子マネー不可 QRコード決済不可,"35.68834184165506,139.68087413976107",不明の為情報お待ちしております,東京都渋谷区本町3-41-12 ,1513,35.68834184165506,139.68087413976107,True
食べログ ラーメン TOKYO 百名店 2023 選出店,Ramen FeeL,日向和田駅 718m , ラーメン・つけ麺(ラーメン),,-,-,3.98,水曜日,https://tabelog.com/tokyo/A1330/A133003/13254631/,予約可,2024年1月10日から開始。店主のXまたはInstagramからTable Checkの予約ページに飛べます。,JR日向和田駅から徒歩15分 日向和田駅から718m,,,カード可 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済可 （PayPay）,"35.7887116384743,139.22177598585188",0428-85-9382,東京都青梅市梅郷4-695-1 ,951,35.7887116384743,139.22177598585188,False
食べログ ラーメン TOKYO 百名店 2023 選出店,Homemade Ramen 麦苗,大森海岸駅 419m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),化学調味料は一切不使用。麺、具材と天然素材由来の出汁が織りなす、滋味深き1杯の余韻に浸る,"￥1,000～￥1,999","￥1,000～￥1,999",3.96,水曜日、木曜日,https://tabelog.com/tokyo/A1315/A131502/13194812/,予約不可,,・京浜急行本線「大森海岸」駅より、徒歩７分・JR京浜東北線「大森」駅(北口)より、徒歩７分 大森海岸駅から419m,11:00 - 15:30,■ 営業時間＊注＊午前9時頃からウェイティングボードが店頭に出ますので注意書きをよく確認の上、記名し、指定された集合時刻に戻ってくるシステムです。一人で複数人数分の席も取れます。■ 定休日他にも月に数日有。twitterにて確認,カード不可 電子マネー不可 QRコード決済不可,"35.59077613876275,139.73280328349432",非公開,東京都品川区南大井6-11-10 ,2147,35.59077613876275,139.73280328349432,False
食べログ ラーメン TOKYO 百名店 2023 選出店,宍道湖しじみ中華蕎麦 琥珀 東京本店,雑色駅 387m , ラーメン・つけ麺(ラーメン),,-,-,3.95,日曜日、祝日,https://tabelog.com/tokyo/A1315/A131503/13234195/,完全予約制,4月1日以降のご予約は X（旧Twitter）または Instagram のトップページにあるリンクから承ります,京浜急行雑色駅から徒歩5分JR蒲田駅から徒歩15分 雑色駅から387m,11:30 - 15:30,※営業日は予約サイトにてご確認ください,カード不可 電子マネー不可 QRコード決済不可,"35.55124683878097,139.7111869831102",03-6690-0893,東京都大田区西六郷2-1-3 ,1418,35.55124683878097,139.7111869831102,False
食べログ ラーメン TOKYO 百名店 2023 選出店,ジャパニーズ ラーメン 五感,池袋駅 722m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,-,-,3.95,月曜日、火曜日,https://tabelog.com/tokyo/A1305/A130501/13284009/,完全予約制,毎週日曜11:00より翌週水〜日まで予約受付。X、インスタ、Googleのトップページからtable check（web予約サイト）でご予約お願い致します。,池袋駅東口から徒歩9分 池袋駅から722m,,,カード不可 電子マネー不可 QRコード決済不可,"35.733079138667634,139.71790538494216",不明の為情報お待ちしております,東京都豊島区東池袋2-57-2 コスモ東池袋 101,859,35.733079138667634,139.71790538494216,True
食べログ ラーメン TOKYO 百名店 2023 選出店,メヂカそば 吟魚,万願寺駅 194m , ラーメン・つけ麺(ラーメン),,-,-,3.95,火曜日、水曜日,https://tabelog.com/tokyo/A1329/A132903/13272366/,予約不可,,多摩モノレール 万願寺駅から 徒歩4分京王線 高幡不動駅から 徒歩14分 万願寺駅から194m,11:00 - 14:30L.O. 14:30,■ 営業時間※スープ売切れ次第閉店■ 定休日不定休,カード不可 電子マネー不可 QRコード決済不可,"35.6696090386128,139.41912728451052",非公開,東京都日野市石田2-9-1 ,571,35.6696090386128,139.41912728451052,True
,奈つやの中華そば,下丸子駅 159m , ラーメン・つけ麺(ラーメン),,-,-,3.94,火曜日、金曜日,https://tabelog.com/tokyo/A1317/A131716/13293385/,予約不可,,下丸子駅から159m,,,カード不可 電子マネー不可 QRコード決済不可,"35.57140284817609,139.68389120317588",不明の為情報お待ちしております,東京都大田区下丸子4-4-8 ,497,35.57140284817609,139.68389120317588,True
食べログ ラーメン TOKYO 百名店 2023 選出店,麺屋吉左右,木場駅 336m , ラーメン・つけ麺(ラーメン)、ラーメン・つけ麺(つけ麺),,-,-,3.93,水曜日、金曜日、日曜日,https://tabelog.com/tokyo/A1313/A131303/13021140/,予約不可,,【電車】東京メトロ東西線「木場」駅(2番出口)から徒歩5分東京メトロ東西線「東陽町」駅(2番出口)から徒歩8分【バス】都バス「東陽三丁目」停留所下車、徒歩2分（東京駅丸の内北口、東雲駅、錦糸町駅、豊洲駅などからあり）※東雲方面からは東陽一丁目バス停からのほうが近いです 木場駅から336m,,,カード不可 電子マネー不可 QRコード決済不可,"35.6684675387381,139.81030768422477",03-3699-5929,東京都江東区東陽1-11-3 ,2107,35.6684675387381,139.81030768422477,False
,饗 くろ喜,浅草橋駅 72m , ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.93,日曜日,https://tabelog.com/tokyo/A1311/A131103/13290780/,予約不可,,JR中央総武緩行線浅草橋駅東口徒歩２分地下鉄都営浅草線浅草橋駅徒歩２分（京浜急行、京成電鉄相互乗り入れ） 浅草橋駅から72m,,,カード不可 電子マネー不可 QRコード決済不可,"35.698005638711415,139.78540768454056",03-3863-7117,東京都台東区浅草橋1-28-9 ROJI ASAKUSABASHI 1F,748,35.698005638711415,139.78540768454056,False
食べログ ラーメン TOKYO 百名店 2023 選出店,Tokyo Style Noodle ほたて日和,秋葉原駅 330m , ラーメン・つけ麺(つけ麺)、ラーメン・つけ麺(ラーメン),,"￥1,000～￥1,999","￥1,000～￥1,999",3.92,水曜日,https://tabelog.com/tokyo/A1310/A131001/13280086/,予約不可,,JR秋葉原駅昭和通り口から徒歩3分 秋葉原駅から330m,11:00 - 14:40,事前記帳,カード不可 電子マネー不可 QRコード決済不可,"35.69851697714618,139.7771560190535",03-3863-3773,東京都千代田区神田佐久間町2-25 ,816,35.69851697714618,139.7771560190535,False
